song_name,song_popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,audio_valence,artist_name,playlist
Boulevard of Broken Dreams,0.73,0.005541150252985199,0.502532928064843,0.6823424488691592,2.9488465396188567e-05,0.048249666358690074,0.8592421876936039,0.03124335812964931,0.6894246403486327,0.4817073170731707,Green Day,00s Rock Anthems
In The End,0.66,0.010340351954978911,0.5491388044579535,0.8536971531069313,0.0,0.09865516887383224,0.8019478105717048,0.05292242295430393,0.43437136324994424,0.37601626016260165,Linkin Park,00s Rock Anthems
Seven Nation Army,0.76,0.008201795548023555,0.7467071935157041,0.4628881785295561,0.448345035105316,0.24956369982547996,0.7667335761901222,0.08416578108395326,0.51123317293804,0.32926829268292684,The White Stripes,00s Rock Anthems
By The Way,0.74,0.026505027143702495,0.4569402228976697,0.9709398454801439,0.0035606820461384155,0.09249563699825479,0.8383515475924962,0.11370882040382572,0.5053029490174069,0.20121951219512196,Red Hot Chili Peppers,00s Rock Anthems
How You Remind Me,0.56,0.0009568082087793905,0.452887537993921,0.766516689547363,0.0,0.10378811210348013,0.8352043218595891,0.0332624867162593,0.7098564695978011,0.5833333333333333,Nickelback,00s Rock Anthems
Bring Me To Life,0.8,0.008984928880148051,0.32016210739615,0.9458879881354403,1.855566700100301e-06,0.3943126989015502,0.882189676108344,0.13177470775770458,0.7838088792413275,0.3252032520325203,Evanescence,00s Rock Anthems
Last Resort,0.81,0.0005050005171692043,0.5886524822695035,0.8877676790957282,0.00111334002006008,0.2629093522225644,0.8700468366664189,0.06631243358129649,0.373798067002864,0.7357723577235773,Papa Roach,00s Rock Anthems
Are You Gonna Be My Girl,0.76,0.0014849211994172925,0.6210739614994935,0.9539045824857455,0.0005837512537612839,0.1438250692947336,0.8755978489827274,0.09086078639744953,0.43350473344943424,0.5457317073170732,Jet,00s Rock Anthems
Mr. Brightside,0.8,0.0010833143624303712,0.33434650455927056,0.9368693194913471,0.0,0.08284570372651678,0.8700220553614354,0.09744952178533475,0.6112298714911809,0.2378048780487804,The Killers,00s Rock Anthems
Sex on Fire,0.81,0.0017258853016094455,0.5491388044579535,0.9058050163839148,0.010431293881644934,0.12739965095986042,0.8206329145292791,0.05738575982996812,0.6330441816125917,0.3800813008130081,Kings of Leon,00s Rock Anthems
